title, link
182 са новите случаи на COVID-19 у нас,/bulgaria/182-sa-novite-sluchai-na-covid-19-u-nas.html
Медицинска сестра и шофьор от Смолянско са с COVID-19,/bulgaria/medicinska-sestra-i-shofyor-ot-smoljansko-sa-s-covid-19.html
Доц. Чорбанов: Ваксина срещу COVID-19 ще има на пазара следващата есен,/predavania/tazi-sabota-i-nedelia/doc-chorbanov-vaksina-sreshtu-covid-19-shte-ima-na-pazara-sledvashtata-esen.html
240 нови случая на COVID-19 у нас,/bulgaria/240-novi-sluchaja-na-covid-19-u-nas.html
Д-р Данчо Пенчев: Очаквам скок от порядъка на 20% на заразените с COVID-19 в София,/predavania/tazi-sutrin/d-r-dancho-penchev-ochakvam-skok-ot-porjadaka-na-20-na-zarazenite-s-covid-19-v-sofija.html
Предложение: Да се увеличат извинените отсъствия на учениците от родителите,/predavania/tazi-sutrin/predlozhenie-da-se-uvelichat-izvinenite-otsastvija-na-uchenicite-ot-roditelite.html
286 нови случая на COVID-19 у нас| 12 души са починали,/bulgaria/286-novi-sluchaja-na-covid-19-u-nas-12-dushi-sa-pochinali.html
9|6 млн. лева отиват за поддръжка на болници с COVID отделения,/bulgaria/9-6-mln-leva-otivat-za-poddrazhka-na-bolnici-s-covid-otdelenija.html
Болницата в Айтос ще приема само пациенти с COVID-19,/predavania/tazi-sutrin/bolnicata-v-ajtos-shte-priema-samo-pacienti-s-covid-19.html
276 са новите случаи на COVID-19 у нас,/bulgaria/276-sa-novite-sluchai-na-covid-19-u-nas.html
